group1,group2,meandiff,p-adj,lower,upper,reject
code1:100:0.02,code1:10:0.02,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code1:10:0.34,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code1:10:0.5,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code1:10:0.58,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code1:10:0.62,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code1:10:0.64,-20.0093,0.0019,-36.733,-3.2856,True
code1:100:0.02,code1:20:0.02,-20.0089,0.0019,-36.7326,-3.2852,True
code1:100:0.02,code1:20:0.34,-20.0061,0.0019,-36.7298,-3.2824,True
code1:100:0.02,code1:20:0.5,-19.9425,0.002,-36.6661,-3.2188,True
code1:100:0.02,code1:20:0.58,-19.9542,0.002,-36.6779,-3.2305,True
code1:100:0.02,code1:20:0.62,-19.8037,0.0024,-36.5274,-3.08,True
code1:100:0.02,code1:20:0.64,-19.9262,0.0021,-36.6499,-3.2025,True
code1:100:0.02,code1:30:0.02,-19.9852,0.0019,-36.7089,-3.2615,True
code1:100:0.02,code1:30:0.34,-19.3351,0.004,-36.0588,-2.6114,True
code1:100:0.02,code1:30:0.5,-8.5689,0.9,-25.5868,8.4491,False
code1:100:0.02,code1:30:0.58,4.9814,0.9,-12.5498,22.5126,False
code1:100:0.02,code1:30:0.62,-2.1317,0.9,-20.9318,16.6685,False
code1:100:0.02,code1:30:0.64,11.0691,0.9,-8.0119,30.15,False
code1:100:0.02,code1:40:0.02,-19.9005,0.0021,-36.6242,-3.1768,True
code1:100:0.02,code1:40:0.34,-7.725,0.9,-25.6891,10.2391,False
code1:100:0.02,code1:40:0.5,26.9181,0.5179,-7.4805,61.3168,False
code1:100:0.02,code1:50:0.02,-17.3616,0.0304,-34.1517,-0.5715,True
code1:100:0.02,code1:60:0.02,-16.1321,0.0866,-32.9222,0.658,False
code1:100:0.02,code1:70:0.02,-7.7777,0.9,-25.917,10.3617,False
code1:100:0.02,code1:80:0.02,-2.5151,0.9,-22.7331,17.7028,False
code1:100:0.02,code1:90:0.02,15.235,0.5105,-4.1685,34.6384,False
code1:100:0.02,code2:100:0.02,-9.702,0.9,-32.8936,13.4895,False
code1:100:0.02,code2:10:0.02,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code2:10:0.34,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code2:10:0.5,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code2:10:0.58,-20.0094,0.0019,-36.7331,-3.2857,True
code1:100:0.02,code2:10:0.62,-20.0093,0.0019,-36.733,-3.2856,True
code1:100:0.02,code2:10:0.64,-20.0093,0.0019,-36.733,-3.2857,True
code1:100:0.02,code2:20:0.02,-20.0093,0.0019,-36.733,-3.2856,True
code1:100:0.02,code2:20:0.34,-20.0072,0.0019,-36.7309,-3.2836,True
code1:100:0.02,code2:20:0.5,-19.9888,0.0019,-36.7125,-3.2651,True
code1:100:0.02,code2:20:0.58,-19.9345,0.002,-36.6582,-3.2108,True
code1:100:0.02,code2:20:0.62,-19.7617,0.0025,-36.4854,-3.0381,True
code1:100:0.02,code2:20:0.64,-19.7253,0.0026,-36.449,-3.0016,True
code1:100:0.02,code2:30:0.02,-20.0026,0.0019,-36.7263,-3.279,True
code1:100:0.02,code2:30:0.34,-19.4502,0.0035,-36.1739,-2.7265,True
code1:100:0.02,code2:30:0.5,-11.0308,0.8955,-28.0487,5.9872,False
code1:100:0.02,code2:30:0.58,-4.9821,0.9,-22.1815,12.2172,False
code1:100:0.02,code2:30:0.62,2.9319,0.9,-15.8682,21.732,False
code1:100:0.02,code2:30:0.64,23.1943,0.0046,2.9764,43.4123,True
code1:100:0.02,code2:40:0.02,-19.8956,0.0021,-36.6193,-3.1719,True
code1:100:0.02,code2:40:0.34,6.6213,0.9,-11.5181,24.7606,False
code1:100:0.02,code2:50:0.02,-13.3985,0.4734,-30.1886,3.3916,False
code1:100:0.02,code2:60:0.02,-8.5635,0.9,-25.4244,8.2975,False
code1:100:0.02,code2:70:0.02,-12.0967,0.778,-29.6279,5.4345,False
code1:100:0.02,code2:80:0.02,-6.4012,0.9,-27.1444,14.342,False
code1:100:0.02,code2:90:0.02,-2.5126,0.9,-23.8942,18.869,False
code1:10:0.02,code1:10:0.34,0.0,0.9,-11.3615,11.3615,False
code1:10:0.02,code1:10:0.5,0.0,0.9,-11.3615,11.3615,False
code1:10:0.02,code1:10:0.58,0.0,0.9,-11.3615,11.3615,False
code1:10:0.02,code1:10:0.62,0.0,0.9,-11.3615,11.3616,False
code1:10:0.02,code1:10:0.64,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.02,code1:20:0.02,0.0005,0.9,-11.361,11.362,False
code1:10:0.02,code1:20:0.34,0.0033,0.9,-11.3582,11.3648,False
code1:10:0.02,code1:20:0.5,0.067,0.9,-11.2945,11.4285,False
code1:10:0.02,code1:20:0.58,0.0552,0.9,-11.3063,11.4167,False
code1:10:0.02,code1:20:0.62,0.2057,0.9,-11.1558,11.5672,False
code1:10:0.02,code1:20:0.64,0.0833,0.9,-11.2783,11.4448,False
code1:10:0.02,code1:30:0.02,0.0242,0.9,-11.3373,11.3858,False
code1:10:0.02,code1:30:0.34,0.6743,0.9,-10.6872,12.0358,False
code1:10:0.02,code1:30:0.5,11.4405,0.0765,-0.3499,23.2309,False
code1:10:0.02,code1:30:0.58,24.9908,0.001,12.471,37.5106,True
code1:10:0.02,code1:30:0.62,17.8778,0.001,3.6354,32.1202,True
code1:10:0.02,code1:30:0.64,31.0785,0.001,16.4674,45.6896,True
code1:10:0.02,code1:40:0.02,0.1089,0.9,-11.2526,11.4704,False
code1:10:0.02,code1:40:0.34,12.2844,0.1182,-0.8347,25.4036,False
code1:10:0.02,code1:40:0.5,46.9276,0.001,14.7924,79.0628,True
code1:10:0.02,code1:50:0.02,2.6478,0.9,-8.8112,14.1068,False
code1:10:0.02,code1:60:0.02,3.8774,0.9,-7.5817,15.3364,False
code1:10:0.02,code1:70:0.02,12.2318,0.1504,-1.1264,25.5899,False
code1:10:0.02,code1:80:0.02,17.4943,0.0127,1.4267,33.5619,True
code1:10:0.02,code1:90:0.02,35.2444,0.001,20.2145,50.2743,True
code1:10:0.02,code2:100:0.02,10.3074,0.9,-9.3713,29.9861,False
code1:10:0.02,code2:10:0.02,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.02,code2:10:0.34,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.02,code2:10:0.5,0.0,0.9,-11.3615,11.3615,False
code1:10:0.02,code2:10:0.58,0.0,0.9,-11.3615,11.3615,False
code1:10:0.02,code2:10:0.62,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.02,code2:10:0.64,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.02,code2:20:0.02,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.02,code2:20:0.34,0.0022,0.9,-11.3593,11.3637,False
code1:10:0.02,code2:20:0.5,0.0206,0.9,-11.3409,11.3821,False
code1:10:0.02,code2:20:0.58,0.0749,0.9,-11.2866,11.4364,False
code1:10:0.02,code2:20:0.62,0.2477,0.9,-11.1138,11.6092,False
code1:10:0.02,code2:20:0.64,0.2842,0.9,-11.0773,11.6457,False
code1:10:0.02,code2:30:0.02,0.0068,0.9,-11.3547,11.3683,False
code1:10:0.02,code2:30:0.34,0.5593,0.9,-10.8023,11.9208,False
code1:10:0.02,code2:30:0.5,8.9787,0.5769,-2.8117,20.769,False
code1:10:0.02,code2:30:0.58,15.0273,0.001,2.9766,27.078,True
code1:10:0.02,code2:30:0.62,22.9414,0.001,8.6989,37.1838,True
code1:10:0.02,code2:30:0.64,43.2037,0.001,27.1361,59.2713,True
code1:10:0.02,code2:40:0.02,0.1138,0.9,-11.2477,11.4753,False
code1:10:0.02,code2:40:0.34,26.6307,0.001,13.2725,39.9888,True
code1:10:0.02,code2:50:0.02,6.6109,0.9,-4.8482,18.0699,False
code1:10:0.02,code2:60:0.02,11.4459,0.058,-0.1167,23.0085,False
code1:10:0.02,code2:70:0.02,7.9127,0.9,-4.607,20.4325,False
code1:10:0.02,code2:80:0.02,13.6082,0.4221,-3.1155,30.3319,False
code1:10:0.02,code2:90:0.02,17.4968,0.0505,-0.0124,35.0061,False
code1:10:0.34,code1:10:0.5,0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code1:10:0.58,0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code1:10:0.62,0.0,0.9,-11.3615,11.3616,False
code1:10:0.34,code1:10:0.64,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.34,code1:20:0.02,0.0005,0.9,-11.361,11.362,False
code1:10:0.34,code1:20:0.34,0.0033,0.9,-11.3582,11.3648,False
code1:10:0.34,code1:20:0.5,0.067,0.9,-11.2945,11.4285,False
code1:10:0.34,code1:20:0.58,0.0552,0.9,-11.3063,11.4167,False
code1:10:0.34,code1:20:0.62,0.2057,0.9,-11.1558,11.5672,False
code1:10:0.34,code1:20:0.64,0.0833,0.9,-11.2783,11.4448,False
code1:10:0.34,code1:30:0.02,0.0242,0.9,-11.3373,11.3858,False
code1:10:0.34,code1:30:0.34,0.6743,0.9,-10.6872,12.0358,False
code1:10:0.34,code1:30:0.5,11.4405,0.0765,-0.3499,23.2309,False
code1:10:0.34,code1:30:0.58,24.9908,0.001,12.471,37.5106,True
code1:10:0.34,code1:30:0.62,17.8778,0.001,3.6354,32.1202,True
code1:10:0.34,code1:30:0.64,31.0785,0.001,16.4674,45.6896,True
code1:10:0.34,code1:40:0.02,0.1089,0.9,-11.2526,11.4704,False
code1:10:0.34,code1:40:0.34,12.2844,0.1182,-0.8347,25.4036,False
code1:10:0.34,code1:40:0.5,46.9276,0.001,14.7923,79.0628,True
code1:10:0.34,code1:50:0.02,2.6478,0.9,-8.8112,14.1068,False
code1:10:0.34,code1:60:0.02,3.8773,0.9,-7.5817,15.3364,False
code1:10:0.34,code1:70:0.02,12.2318,0.1504,-1.1264,25.5899,False
code1:10:0.34,code1:80:0.02,17.4943,0.0127,1.4267,33.5619,True
code1:10:0.34,code1:90:0.02,35.2444,0.001,20.2145,50.2743,True
code1:10:0.34,code2:100:0.02,10.3074,0.9,-9.3713,29.9861,False
code1:10:0.34,code2:10:0.02,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.34,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.5,0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.58,0.0,0.9,-11.3615,11.3615,False
code1:10:0.34,code2:10:0.62,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.34,code2:10:0.64,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.34,code2:20:0.02,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.34,code2:20:0.34,0.0022,0.9,-11.3593,11.3637,False
code1:10:0.34,code2:20:0.5,0.0206,0.9,-11.3409,11.3821,False
code1:10:0.34,code2:20:0.58,0.0749,0.9,-11.2866,11.4364,False
code1:10:0.34,code2:20:0.62,0.2477,0.9,-11.1138,11.6092,False
code1:10:0.34,code2:20:0.64,0.2842,0.9,-11.0774,11.6457,False
code1:10:0.34,code2:30:0.02,0.0068,0.9,-11.3547,11.3683,False
code1:10:0.34,code2:30:0.34,0.5592,0.9,-10.8023,11.9208,False
code1:10:0.34,code2:30:0.5,8.9786,0.5769,-2.8117,20.769,False
code1:10:0.34,code2:30:0.58,15.0273,0.001,2.9766,27.078,True
code1:10:0.34,code2:30:0.62,22.9413,0.001,8.6989,37.1838,True
code1:10:0.34,code2:30:0.64,43.2037,0.001,27.1361,59.2713,True
code1:10:0.34,code2:40:0.02,0.1138,0.9,-11.2477,11.4753,False
code1:10:0.34,code2:40:0.34,26.6307,0.001,13.2725,39.9888,True
code1:10:0.34,code2:50:0.02,6.6109,0.9,-4.8482,18.0699,False
code1:10:0.34,code2:60:0.02,11.4459,0.058,-0.1167,23.0085,False
code1:10:0.34,code2:70:0.02,7.9127,0.9,-4.607,20.4325,False
code1:10:0.34,code2:80:0.02,13.6082,0.4221,-3.1155,30.3319,False
code1:10:0.34,code2:90:0.02,17.4968,0.0505,-0.0124,35.0061,False
code1:10:0.5,code1:10:0.58,0.0,0.9,-11.3615,11.3615,False
code1:10:0.5,code1:10:0.62,0.0,0.9,-11.3615,11.3615,False
code1:10:0.5,code1:10:0.64,0.0001,0.9,-11.3615,11.3616,False
code1:10:0.5,code1:20:0.02,0.0005,0.9,-11.361,11.362,False
code1:10:0.5,code1:20:0.34,0.0033,0.9,-11.3582,11.3648,False
code1:10:0.5,code1:20:0.5,0.0669,0.9,-11.2946,11.4284,False
code1:10:0.5,code1:20:0.58,0.0552,0.9,-11.3063,11.4167,False
code1:10:0.5,code1:20:0.62,0.2057,0.9,-11.1558,11.5672,False
code1:10:0.5,code1:20:0.64,0.0832,0.9,-11.2783,11.4447,False
code1:10:0.5,code1:30:0.02,0.0242,0.9,-11.3373,11.3857,False
code1:10:0.5,code1:30:0.34,0.6743,0.9,-10.6872,12.0358,False
code1:10:0.5,code1:30:0.5,11.4405,0.0765,-0.3499,23.2309,False
code1:10:0.5,code1:30:0.58,24.9908,0.001,12.471,37.5106,True
code1:10:0.5,code1:30:0.62,17.8777,0.001,3.6353,32.1201,True
code1:10:0.5,code1:30:0.64,31.0785,0.001,16.4673,45.6896,True
code1:10:0.5,code1:40:0.02,0.1089,0.9,-11.2526,11.4704,False
code1:10:0.5,code1:40:0.34,12.2844,0.1182,-0.8347,25.4036,False
code1:10:0.5,code1:40:0.5,46.9275,0.001,14.7923,79.0627,True
code1:10:0.5,code1:50:0.02,2.6478,0.9,-8.8113,14.1068,False
code1:10:0.5,code1:60:0.02,3.8773,0.9,-7.5817,15.3364,False
code1:10:0.5,code1:70:0.02,12.2317,0.1504,-1.1264,25.5899,False
code1:10:0.5,code1:80:0.02,17.4943,0.0127,1.4267,33.5619,True
code1:10:0.5,code1:90:0.02,35.2444,0.001,20.2145,50.2742,True
code1:10:0.5,code2:100:0.02,10.3073,0.9,-9.3714,29.9861,False
code1:10:0.5,code2:10:0.02,-0.0,0.9,-11.3616,11.3615,False
code1:10:0.5,code2:10:0.34,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.5,code2:10:0.5,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.5,code2:10:0.58,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.5,code2:10:0.62,0.0001,0.9,-11.3615,11.3616,False
code1:10:0.5,code2:10:0.64,0.0,0.9,-11.3615,11.3616,False
code1:10:0.5,code2:20:0.02,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.5,code2:20:0.34,0.0021,0.9,-11.3594,11.3637,False
code1:10:0.5,code2:20:0.5,0.0206,0.9,-11.341,11.3821,False
code1:10:0.5,code2:20:0.58,0.0749,0.9,-11.2866,11.4364,False
code1:10:0.5,code2:20:0.62,0.2476,0.9,-11.1139,11.6092,False
code1:10:0.5,code2:20:0.64,0.2841,0.9,-11.0774,11.6456,False
code1:10:0.5,code2:30:0.02,0.0067,0.9,-11.3548,11.3683,False
code1:10:0.5,code2:30:0.34,0.5592,0.9,-10.8023,11.9207,False
code1:10:0.5,code2:30:0.5,8.9786,0.577,-2.8118,20.769,False
code1:10:0.5,code2:30:0.58,15.0272,0.001,2.9765,27.0779,True
code1:10:0.5,code2:30:0.62,22.9413,0.001,8.6989,37.1837,True
code1:10:0.5,code2:30:0.64,43.2037,0.001,27.1361,59.2713,True
code1:10:0.5,code2:40:0.02,0.1138,0.9,-11.2478,11.4753,False
code1:10:0.5,code2:40:0.34,26.6306,0.001,13.2725,39.9888,True
code1:10:0.5,code2:50:0.02,6.6108,0.9,-4.8482,18.0699,False
code1:10:0.5,code2:60:0.02,11.4459,0.058,-0.1167,23.0085,False
code1:10:0.5,code2:70:0.02,7.9127,0.9,-4.6071,20.4325,False
code1:10:0.5,code2:80:0.02,13.6082,0.4221,-3.1155,30.3319,False
code1:10:0.5,code2:90:0.02,17.4968,0.0505,-0.0125,35.0061,False
code1:10:0.58,code1:10:0.62,0.0,0.9,-11.3615,11.3615,False
code1:10:0.58,code1:10:0.64,0.0001,0.9,-11.3615,11.3616,False
code1:10:0.58,code1:20:0.02,0.0005,0.9,-11.361,11.362,False
code1:10:0.58,code1:20:0.34,0.0033,0.9,-11.3582,11.3648,False
code1:10:0.58,code1:20:0.5,0.0669,0.9,-11.2946,11.4284,False
code1:10:0.58,code1:20:0.58,0.0552,0.9,-11.3064,11.4167,False
code1:10:0.58,code1:20:0.62,0.2057,0.9,-11.1558,11.5672,False
code1:10:0.58,code1:20:0.64,0.0832,0.9,-11.2783,11.4447,False
code1:10:0.58,code1:30:0.02,0.0242,0.9,-11.3373,11.3857,False
code1:10:0.58,code1:30:0.34,0.6743,0.9,-10.6872,12.0358,False
code1:10:0.58,code1:30:0.5,11.4405,0.0765,-0.3499,23.2309,False
code1:10:0.58,code1:30:0.58,24.9908,0.001,12.471,37.5106,True
code1:10:0.58,code1:30:0.62,17.8777,0.001,3.6353,32.1201,True
code1:10:0.58,code1:30:0.64,31.0785,0.001,16.4673,45.6896,True
code1:10:0.58,code1:40:0.02,0.1089,0.9,-11.2526,11.4704,False
code1:10:0.58,code1:40:0.34,12.2844,0.1182,-0.8347,25.4036,False
code1:10:0.58,code1:40:0.5,46.9275,0.001,14.7923,79.0627,True
code1:10:0.58,code1:50:0.02,2.6478,0.9,-8.8113,14.1068,False
code1:10:0.58,code1:60:0.02,3.8773,0.9,-7.5817,15.3364,False
code1:10:0.58,code1:70:0.02,12.2317,0.1504,-1.1264,25.5899,False
code1:10:0.58,code1:80:0.02,17.4943,0.0127,1.4267,33.5619,True
code1:10:0.58,code1:90:0.02,35.2444,0.001,20.2145,50.2742,True
code1:10:0.58,code2:100:0.02,10.3073,0.9,-9.3714,29.9861,False
code1:10:0.58,code2:10:0.02,-0.0,0.9,-11.3616,11.3615,False
code1:10:0.58,code2:10:0.34,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.58,code2:10:0.5,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.58,code2:10:0.58,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.58,code2:10:0.62,0.0001,0.9,-11.3615,11.3616,False
code1:10:0.58,code2:10:0.64,0.0,0.9,-11.3615,11.3616,False
code1:10:0.58,code2:20:0.02,0.0001,0.9,-11.3614,11.3616,False
code1:10:0.58,code2:20:0.34,0.0021,0.9,-11.3594,11.3637,False
code1:10:0.58,code2:20:0.5,0.0206,0.9,-11.341,11.3821,False
code1:10:0.58,code2:20:0.58,0.0749,0.9,-11.2866,11.4364,False
code1:10:0.58,code2:20:0.62,0.2476,0.9,-11.1139,11.6092,False
code1:10:0.58,code2:20:0.64,0.2841,0.9,-11.0774,11.6456,False
code1:10:0.58,code2:30:0.02,0.0067,0.9,-11.3548,11.3683,False
code1:10:0.58,code2:30:0.34,0.5592,0.9,-10.8023,11.9207,False
code1:10:0.58,code2:30:0.5,8.9786,0.577,-2.8118,20.769,False
code1:10:0.58,code2:30:0.58,15.0272,0.001,2.9765,27.0779,True
code1:10:0.58,code2:30:0.62,22.9413,0.001,8.6989,37.1837,True
code1:10:0.58,code2:30:0.64,43.2037,0.001,27.1361,59.2713,True
code1:10:0.58,code2:40:0.02,0.1137,0.9,-11.2478,11.4753,False
code1:10:0.58,code2:40:0.34,26.6306,0.001,13.2725,39.9888,True
code1:10:0.58,code2:50:0.02,6.6108,0.9,-4.8482,18.0699,False
code1:10:0.58,code2:60:0.02,11.4459,0.058,-0.1167,23.0085,False
code1:10:0.58,code2:70:0.02,7.9127,0.9,-4.6071,20.4325,False
code1:10:0.58,code2:80:0.02,13.6082,0.4221,-3.1155,30.3319,False
code1:10:0.58,code2:90:0.02,17.4968,0.0505,-0.0125,35.0061,False
code1:10:0.62,code1:10:0.64,0.0,0.9,-11.3615,11.3616,False
code1:10:0.62,code1:20:0.02,0.0005,0.9,-11.361,11.362,False
code1:10:0.62,code1:20:0.34,0.0032,0.9,-11.3583,11.3648,False
code1:10:0.62,code1:20:0.5,0.0669,0.9,-11.2946,11.4284,False
code1:10:0.62,code1:20:0.58,0.0551,0.9,-11.3064,11.4167,False
code1:10:0.62,code1:20:0.62,0.2057,0.9,-11.1558,11.5672,False
code1:10:0.62,code1:20:0.64,0.0832,0.9,-11.2783,11.4447,False
code1:10:0.62,code1:30:0.02,0.0242,0.9,-11.3373,11.3857,False
code1:10:0.62,code1:30:0.34,0.6743,0.9,-10.6873,12.0358,False
code1:10:0.62,code1:30:0.5,11.4405,0.0765,-0.3499,23.2309,False
code1:10:0.62,code1:30:0.58,24.9908,0.001,12.471,37.5105,True
code1:10:0.62,code1:30:0.62,17.8777,0.001,3.6353,32.1201,True
code1:10:0.62,code1:30:0.64,31.0784,0.001,16.4673,45.6896,True
code1:10:0.62,code1:40:0.02,0.1089,0.9,-11.2526,11.4704,False
code1:10:0.62,code1:40:0.34,12.2844,0.1182,-0.8347,25.4035,False
code1:10:0.62,code1:40:0.5,46.9275,0.001,14.7923,79.0627,True
code1:10:0.62,code1:50:0.02,2.6478,0.9,-8.8113,14.1068,False
code1:10:0.62,code1:60:0.02,3.8773,0.9,-7.5817,15.3363,False
code1:10:0.62,code1:70:0.02,12.2317,0.1504,-1.1264,25.5898,False
code1:10:0.62,code1:80:0.02,17.4943,0.0127,1.4267,33.5619,True
code1:10:0.62,code1:90:0.02,35.2443,0.001,20.2145,50.2742,True
code1:10:0.62,code2:100:0.02,10.3073,0.9,-9.3714,29.986,False
code1:10:0.62,code2:10:0.02,-0.0001,0.9,-11.3616,11.3615,False
code1:10:0.62,code2:10:0.34,-0.0,0.9,-11.3616,11.3615,False
code1:10:0.62,code2:10:0.5,-0.0,0.9,-11.3615,11.3615,False
code1:10:0.62,code2:10:0.58,-0.0,0.9,-11.3615,11.3615,False
